BusNumber,BusType,StopOrder,StopNameKorean,StopNameRomanized,StopNameNaver,Latitude,Longitude
209,3,15,동부초등학교후문,Dong-bu Cho-deung-hak-gyo Hu-mun,,36.063648,129.381073
209,3,16,동부초등학교,Dong-bu Cho-deung-hak-gyo,,36.062191,129.380719
209,3,17,두호동행정복지센터,Du-ho-dong Haeng-jeong Bok-ji Center,,36.060222,129.380042
209,3,18,롯데아파트,Lotte A-pa-teu,,36.057957,129.377506
209,3,19,우방비치타운,U-bang Beach Town,,36.054774,129.376284
209,3,20,영일대 해수욕장,Yeong-il-dae Hae-su-yok-jang,,36.053985,129.376316
209,3,21,포항세관,Po-hang Se-gwan,,36.052196,129.373372
209,3,22,롯데백화점,Lotte Bae-kwa-jeom,,36.048811,129.370957
209,3,23,북부시장/채움병원,Buk-bu Si-jang/Chae-um Byeong-won,,36.045839,129.369553
209,3,24,국민건강보험공단,Gung-min Geon-gang Bo-heom Gong-dan,,36.041924,129.367056
209,3,25,중앙상가,Jung-ang Sang-ga,,36.037844,129.3654
209,3,26,죽도시장,Juk-do Si-jang,,36.035694,129.365236
209,3,27,오거리,O-geo-ri,,36.031311,129.366234
209,3,28,고속버스터미널,Go-sok Bus Terminal,,36.027017,129.367614
209,3,29,해도119안전센터,Hae-do I-ril-gu An-jeon Center,,36.022841,129.369901
209,3,30,대해시장,Dae-hae Si-jang,,36.019766,129.369246
209,3,31,장애인생산품판매시설,Jang-ae-in Saeng-san-pum Pan-mae Si-seol,,36.016089,129.37019
209,3,32,형산로타리,Hyeong-san Rotary,,36.011501,129.369179
209,3,33,형산로터리(무정차),Hyeong-san Rotary (Mu-jeong-cha),,36.011029,129.372525
209,3,34,현대제철,Hyundai Je-cheol,,36.0072,129.377528
209,3,35,단지주유소,Dan-ji Ju-yu-so,,36.004102,129.380623
209,3,36,포스코본사,Posco Bon-sa,,36.000537,129.385233
209,3,37,포항스틸야드,Po-hang Steel Yard,,35.998299,129.388148
209,3,38,포스코2문,Posco I-mun,,35.995378,129.392534
209,3,39,남구보건소(무정차),Nam-gu Bo-geon-so (Mu-jeong-cha),,35.99336,129.394059
209,3,40,남구보건소,Nam-gu Bo-geon-so,,35.992607,129.396835
209,3,41,청림파출소,Cheong-nim Pa-chul-so,,35.995731,129.403449
209,3,42,청림초등학교,Cheong-nim Cho-deung-hak-gyo,,35.992528,129.405691
209,3,43,해병대BOQ,Hae-byeong-dae BOQ,,35.996531,129.408485
209,3,44,해군 항공역사관,Hae-gun Hang-gong Yeok-sa-gwan,,35.995049,129.412731
209,3,45,포항남부소방서,Po-hang Nam-bu So-bang-seo,,35.992302,129.420302
209,3,46,화신식물원,Hwa-sin Sing-mu-rwon,,35.991739,129.423883
209,3,47,공항주유소,Gong-hang Ju-yu-so,,35.990354,129.42863
209,3,48,동해환승센터,Dong-hae Hwan-seung Center,,35.98872,129.436783
209,3,49,동해면행정복지센터,Dong-hae-myeon Haeng-jeong Bok-ji Center,,35.988842,129.44021
209,3,50,신정리,Sin-jeong-ni,,35.988019,129.445991
209,3,51,영남상가,Yeong-nam Sang-ga,,35.988034,129.449229
209,3,52,약전리,Yak-jeol-li,,35.988687,129.452389
209,3,53,석리,Seong-ni,,35.987247,129.460149
209,3,54,신형주택입구,Sin-hyeong Ju-taek Ip-gu,,35.988327,129.472349
209,3,55,신형주택입구,Sin-hyeong Ju-taek Ip-gu,,35.988327,129.472349
209,3,56,석리,Seong-ni,,35.987247,129.460149
209,3,57,약전리,Yak-jeol-li,,35.988687,129.452389
209,3,58,황금상가,Hwang-geum Sang-ga,,35.988119,129.448843
209,3,59,신정리,Sin-jeong-ni,,35.988019,129.445991
209,3,60,동해면행정복지센터,Dong-hae-myeon Haeng-jeong Bok-ji Center,,35.988842,129.44021
209,3,61,동해환승센터,Dong-hae Hwan-seung Center,,35.98872,129.436783
209,3,62,공항주유소,Gong-hang Ju-yu-so,,35.990354,129.42863
209,3,63,화신식물원,Hwa-sin Sing-mu-rwon,,35.991739,129.423883
209,3,64,포항남부소방서,Po-hang Nam-bu So-bang-seo,,35.992302,129.420302
209,3,65,해군 항공역사관,Hae-gun Hang-gong Yeok-sa-gwan,,35.995049,129.412731
209,3,66,해병대BOQ,Hae-byeong-dae BOQ,,35.996531,129.408485
209,3,67,청림삼거리,Cheong-nim Sam-geo-ri,,35.994466,129.402951
209,3,68,남구보건소,Nam-gu Bo-geon-so,,35.992607,129.396835
209,3,69,남보건소(무정차),Nam-gu Bo-geon-so (Mu-jeong-cha),,35.993561,129.394375
209,3,70,포스코2문,Posco I-mun,,35.995378,129.392534
209,3,71,포항스틸야드,Po-hang Steel Yard,,35.998299,129.388148
209,3,72,포스코본사,Posco Bon-sa,,36.000537,129.385233
209,3,73,단지주유소,Dan-ji Ju-yu-so,,36.004102,129.380623
209,3,74,현대제철,Hyundai Je-cheol,,36.0072,129.377528
209,3,75,형산로터리(무정차),Hyeong-san Rotary (Mu-jeong-cha),,36.011029,129.372525
209,3,76,형산로터리,Hyeong-san Rotary,,36.011641,129.368446
209,3,77,장애인생산품판매시설,Jang-ae-in Saeng-san-pum Pan-mae Si-seol,,36.016089,129.37019
209,3,78,대해시장,Dae-hae Si-jang,,36.019766,129.369246
209,3,79,해도119안전센터,Hae-do I-ril-gu An-jeon Center,,36.022841,129.369901
209,3,80,고속버스터미널,Go-sok Bus Terminal,,36.027017,129.367614
209,3,81,오거리,O-geo-ri,,36.031311,129.366234
209,3,82,죽도시장,Juk-do Si-jang,,36.035694,129.365236
209,3,83,육거리,Yuk-geo-ri,,36.039702,129.366432
209,3,84,북구청,Gu Buk-gu-cheong,,36.043574,129.368115
209,3,85,북부시장/채움병원,Buk-bu Si-jang/Chae-um Byeong-won,,36.045839,129.369553
209,3,86,롯데백화점,Lotte Bae-kwa-jeom,,36.048811,129.370957
209,3,87,포항세관,Po-hang Se-gwan,,36.052196,129.373372
209,3,88,영일대 해수욕장,Yeong-il-dae Hae-su-yok-jang,,36.053985,129.376316
209,3,89,롯데아파트,Lotte A-pa-teu,,36.057957,129.377506
209,3,90,두호동행정복지센터,Du-ho-dong Haeng-jeong Bok-ji Center,,36.060222,129.380042
209,3,91,동부초등학교후문,Dong-bu Cho-deung-hak-gyo Hu-mun,,36.063648,129.381073
209,3,92,럭키아파트,Lucky A-pa-teu,,36.065156,129.379224
209,3,93,장성럭키2차,Jang-seong Lucky I-cha,,36.067085,129.378947
209,3,94,북구보건소,Buk-gu Bo-geon-so,,36.070209,129.379233
209,3,95,두산위브,Du-san We’ve,,36.076941,129.379982
209,3,96,대림골든빌,Dae-rim Golden Vill,,36.080402,129.38038
209,3,97,장성푸르지오,Jang-seong Prugio,,36.085855,129.380317
209,3,98,삼도뷰엔빌,Sam-do Buen Vill ,,36.088665,129.381365
209,3,99,장량휴먼시아,Jang-nyang Human Sia,,36.090659,129.38407
209,3,100,법원검찰청,Beob-won Geom-chal-cheong,,36.090423,129.387104
209,3,101,삼구4차,Sam-gu Sa-cha,,36.089355,129.392283
209,3,102,장량5단지,Jang-nyang O-danji,,36.089225,129.39405
209,3,103,삼구3차,Sam-gu Sam-cha,,36.08735,129.3966
209,3,104,남광하우스토리,Nam-gwang Haustory,,36.08404,129.39664
209,3,105,농협 양덕지점,Nong-hyup Yang-deok Ji-jeom,,36.080083,129.396745
209,3,106,양덕차고지,Yang-deong Cha-go-ji,,36.07731,129.401999
216,3,0,양덕차고지,Yang-deong Cha-go-ji,,36.07731,129.401999
216,3,1,양덕한마음체육관,Yang-deong Han-ma-eum Che-yuk-gwan,,36.078189,129.40639
216,3,2,북부장애인복지회관,Buk-bu Jang-ae-in Bok-ji-hoe-gwan,,36.07902,129.409196
216,3,3,양덕중학교,Yang-deonk Jung-hak-gyo,,36.082523,129.408592
216,3,4,양덕체육공원,Yang-deonk Che-yuk Gong-won,,36.082043,129.406125
216,3,5,풍림아이원,Pung-nim i-want,,36.085295,129.402012
216,3,6,양서초등학교,Yang-seo Cho-deung-hak-gyo,,36.086542,129.393963
216,3,7,한국산업인력공단,Han-guk Sa-neom Il-lyeong Gong-dan,,36.087755,129.38769
216,3,8,씨티병원,City Byeong-won,,36.087138,129.386427
216,3,9,장성고등학교,Jang-seong Go-deung-hak-gyo,,36.086219,129.386206
216,3,10,장량동행정복지센터,Jang-nyang-dong Haeng-jeong Bok-ji Center,,36.083012,129.385352
216,3,11,장원초등학교,Jang-won Cho-deung-hak-gyo,,36.082566,129.384247
216,3,12,경성홈타운,Gyeong-seong Home Town,,36.076714,129.386017
216,3,13,두산위브(무정차),Du-san We’ve (Mu-jeong-cha),,36.073953,129.38326
216,3,14,포항농협본점,Po-hang Nong-hyeom bon-jeom,,36.072946,129.381407
216,3,15,HCN경북방송,HCN Gyeong-bung Bang-song,,36.072224,129.378213
216,3,16,장성초등학교,Jang-seong Cho-deung-hak-gyo,,36.06935,129.370295
216,3,17,두호초등학교,Du-ho Cho-deung-hak-gyo,,36.064075,129.371166
216,3,18,창포사거리,Chang-po Sa-geo-ri,,36.060413,129.370212
216,3,19,두호남부초등학교,Du-ho Nam-bu Cho-deung-hak-gyo,,36.060537,129.373384
216,3,20,롯데아파트,Lotte A-pa-teu,,36.057957,129.377506
216,3,21,우방비치타운,U-bang Beach Town,,36.054774,129.376284
216,3,22,영일대 해수욕장,Yeong-il-dae Hae-su-yok-jang,,36.053985,129.376316
216,3,23,포항세관,Po-hang Se-gwan,,36.052196,129.373372
216,3,24,롯데백화점,Lotte Bae-kwa-jeom,,36.048811,129.370957
216,3,25,선린병원,Seol-lin Byeong-won,,36.047755,129.367636
216,3,26,북부시장,Buk-bu Si-jang,,36.045141,129.367968
216,3,27,국민건강보험공단,Gung-min Geon-gang Bo-heom Gong-dan,,36.041924,129.367056
216,3,28,중앙상가,Jung-ang Sang-ga,,36.037844,129.3654
216,3,29,죽도시장,Juk-do Si-jang,,36.035694,129.365236
216,3,30,홈플러스,Homeplus,,36.031299,129.364658
216,3,31,죽도파출소,Jukdo pachulso,,36.028436,129.362401
216,3,32,GS슈퍼마켓,GS Supermarket,,36.025677,129.360192
216,3,33,포항중앙교회,Po-hang Jung-ang Gyo-hoe,,36.025596,129.356521
216,3,34,양학육교,Yang-hak Yuk-gyo,,36.025837,129.353223
216,3,35,양학시장,Yang-hak Si-jang,,36.026401,129.350184
216,3,36,양학온천프라자,Yang-hak On-cheon Plaza,,36.028907,129.347569
216,3,37,백학아파트,Bae-kak A-pa-teu,,36.030158,129.344908
216,3,38,양학초등학교,Yang-hak Cho-deung-hak-gyo,,36.032091,129.343823
216,3,39,이동삼성아파트,I-dong Sam-sung A-pa-teu,,36.032276,129.341214
216,3,40,이마트 이동점,Emart I-dong-jeom,,36.031083,129.338622
216,3,41,이동그린빌,I-dong GreenVille,,36.028065,129.340019
216,3,42,이동온천,I-dong On-cheon,,36.024877,129.340873
216,3,43,대잠그린파크,Dae-jam Green Park,,36.020316,129.341176
216,3,44,시청,Si-cheong,,36.018018,129.341418
216,3,45,포항성모병원,Po-hang Seong-mo Byeong-won,,36.015804,129.341274
216,3,46,대잠사거리,Dae-jam Sa-geo-ri,,36.011389,129.34449
216,3,47,상도코아루,Sang-do Koaroo,,36.008293,129.346369
216,3,48,자이아파트,Xi A-pa-teu,,36.007887,129.341861
216,3,49,효자사거리,Hyo-ja Sa-geo-ri,,36.008469,129.338724
216,3,50,SK뷰1차,SK View Il-cha,,36.007827,129.335351
216,3,51,효자건널목,Hyo-ja Geon-neol-mok,,36.004992,129.323835
216,3,52,청구아파트사거리,Cheong-gu A-pa-teu Sa-geo-ri,,36.004726,129.318686
216,3,53,대림한숲타운(상),Daerim hansum town (sang),,36.00632,129.314505
216,3,54,대림한숲타운(하),Dae-rim Han-sup Town (Ha),,36.006409,129.314447
216,3,55,유강초등학교(하),Yu-gang Cho-deung-hak-gyo (Ha),,36.004627,129.315485
216,3,56,청구아파트사거리,Cheong-gu A-pa-teu Sa-geo-ri,,36.004726,129.318686
216,3,57,효자건널목,Hyo-ja Geon-neol-mok,,36.004992,129.323835
216,3,58,SK뷰1차,SK View Il-cha,,36.007827,129.335351
216,3,59,효자사거리,Hyo-ja Sa-geo-ri,,36.008469,129.338724
216,3,60,SK뷰2차,SK View I-cha,,36.007872,129.341374
216,3,61,포항남부경찰서,Po-hang Nam-bu Gyeong-chal-seo,,36.005349,129.34473
216,3,62,대잠사거리,Dae-jam Sa-geo-ri,,36.011389,129.34449
216,3,63,포항성모병원,Po-hang Seong-mo Byeong-won,,36.015804,129.341274
216,3,64,시청,Si-cheong,,36.018018,129.341418
216,3,65,대잠그린파크,Dae-jam Green Park,,36.020316,129.341176
216,3,66,이동온천,I-dong On-cheon,,36.024877,129.340873
216,3,67,이동그린빌,I-dong GreenVille,,36.028065,129.340019
216,3,68,이마트 이동점,Emart I-dong-jeom,,36.031083,129.338622
216,3,69,이동삼성아파트,I-dong Sam-sung A-pa-teu,,36.032276,129.341214
216,3,70,양학초등학교,Yang-hak Cho-deung-hak-gyo,,36.032091,129.343823
216,3,71,백학아파트,Bae-kak A-pa-teu,,36.030158,129.344908
216,3,72,양학온천프라자,Yang-hak On-cheon Plaza,,36.028907,129.347569
216,3,73,양학시장,Yang-hak Si-jang,,36.026401,129.350184
216,3,74,양학육교,Yang-hak Yuk-gyo,,36.025837,129.353223
216,3,75,포항중앙교회,Po-hang Jung-ang Gyo-hoe,,36.025596,129.356521
216,3,76,GS슈퍼마켓,GS Supermarket,,36.025677,129.360192
216,3,77,죽도파출소,Jukdo pachulso,,36.028436,129.362401
216,3,78,홈플러스(오거리),Homeplus (O-geo-ri),,36.030979,129.364774
216,3,79,죽도시장,Juk-do Si-jang,,36.035694,129.365236
216,3,80,육거리,Yuk-geo-ri,,36.039702,129.366432
216,3,81,북부시장,Buk-bu Si-jang,,36.045141,129.367968
216,3,82,선린병원,Seol-lin Byeong-won,,36.047755,129.367636
216,3,83,롯데백화점,Lotte Bae-kwa-jeom,,36.048811,129.370957
216,3,84,포항세관,Po-hang Se-gwan,,36.052196,129.373372
216,3,85,영일대 해수욕장,Yeong-il-dae Hae-su-yok-jang,,36.053985,129.376316
216,3,86,롯데아파트,Lotte A-pa-teu,,36.057957,129.377506
216,3,87,국립농산물품질원,Gung-nim Nong-san Mul-pum-ji-rwon,,36.059691,129.377564
216,3,88,두호남부초등학교,Du-ho Nam-bu Cho-deung-hak-gyo,,36.060537,129.373384
216,3,89,창포사거리,Chang-po Sa-geo-ri,,36.060413,129.370212
216,3,90,두호초등학교,Du-ho Cho-deung-hak-gyo,,36.064075,129.371166
216,3,91,장성초등학교,Jang-seong Cho-deung-hak-gyo,,36.06935,129.370295
216,3,92,HCN경북방송,HCN Gyeong-bung Bang-song,,36.072224,129.378213
216,3,93,포항농협본점,Po-hang Nong-hyeom bon-jeom,,36.072946,129.381407
216,3,94,경성홈타운,Gyeong-seong Home Town,,36.076714,129.386017
216,3,95,장원초등학교,Jang-won Cho-deung-hak-gyo,,36.082566,129.384247
216,3,96,장성고등학교,Jang-seong Go-deung-hak-gyo,,36.086219,129.386206
216,3,97,한국산업인력공단,Han-guk Sa-neom Il-lyeong Gong-dan,,36.087755,129.38769
216,3,98,양서초등학교,Yang-seo Cho-deung-hak-gyo,,36.086542,129.393963
216,3,99,풍림아이원,Pung-nim i-want,,36.085295,129.402012
216,3,100,양덕체육공원,Yang-deonk Che-yuk Gong-won,,36.082043,129.406125
216,3,101,양덕중학교,Yang-deonk Jung-hak-gyo,,36.082523,129.408592
216,3,102,북부장애인복지회관,Buk-bu Jang-ae-in Bok-ji-hoe-gwan,,36.07902,129.409196
216,3,103,양덕한마음체육관,Yang-deong Han-ma-eum Che-yuk-gwan,,36.078189,129.40639
216,3,104,양덕차고지,Yang-deong Cha-go-ji,,36.07731,129.401999
219,3,0,도심환승센터,Do-sim Hwan-seung Center,,36.043214,129.365284
219,3,1,포항꿈트리센터,Po-hang Kkum-teu-ri Center,,36.04159,129.36612
219,3,2,중앙상가,Jung-ang Sang-ga,,36.037844,129.3654
219,3,3,죽도시장,Juk-do Si-jang,,36.035694,129.365236
219,3,4,오거리,O-geo-ri,,36.031311,129.366234
219,3,5,고속버스터미널,Go-sok Bus Terminal,,36.027017,129.367614
219,3,6,해도119안전센터,Hae-do I-ril-gu An-jeon Center,,36.022841,129.369901
219,3,7,대해시장,Dae-hae Si-jang,,36.019766,129.369246
219,3,8,장애인생산품판매시설,Jang-ae-in Saeng-san-pum Pan-mae Si-seol,,36.016089,129.37019
219,3,9,형산로타리,Hyeong-san Rotary,,36.011501,129.369179
219,3,10,형산로터리(무정차),Hyeong-san Rotary (Mu-jeong-cha),,36.011029,129.372525
219,3,11,현대제철,Hyundai Je-cheol,,36.0072,129.377528
219,3,12,단지주유소,Dan-ji Ju-yu-so,,36.004102,129.380623
219,3,13,포스코본사,Posco Bon-sa,,36.000537,129.385233
219,3,14,포항스틸야드,Po-hang Steel Yard,,35.998299,129.388148
219,3,15,포스코2문,Posco I-mun,,35.995378,129.392534
219,3,16,남구보건소(무정차),Nam-gu Bo-geon-so (Mu-jeong-cha),,35.99336,129.394059
219,3,17,남구보건소,Nam-gu Bo-geon-so,,35.992607,129.396835
219,3,18,청림파출소,Cheong-nim Pa-chul-so,,35.995731,129.403449
219,3,19,청림초등학교,Cheong-nim Cho-deung-hak-gyo,,35.992528,129.405691
219,3,20,해병대BOQ,Hae-byeong-dae BOQ,,35.996531,129.408485
219,3,21,해군 항공역사관,Hae-gun Hang-gong Yeok-sa-gwan,,35.995049,129.412731
219,3,22,포항남부소방서,Po-hang Nam-bu So-bang-seo,,35.992302,129.420302
