BusNumber,StopNameKorean,StopOrder,Latitude,Longitude
207(기본),,59,36.009993,129.348038
207(기본),시외버스터미널,60,36.013273,129.350668
207(기본),교보생명,61,36.015595,129.352648
207(기본),산업은행,62,36.018107,129.354529
207(기본),고용복지플러스센터,63,36.022987,129.358409
207(기본),GS슈퍼마켓,64,36.025657,129.360522
207(기본),,64,36.027842,129.362203
207(기본),,64,36.027921,129.362355
207(기본),죽도파출소,65,36.02832,129.362648
207(기본),홈플러스(오거리),66,36.030979,129.364774
207(기본),,66,36.032652,129.366114
207(기본),죽도시장,67,36.035694,129.365236
207(기본),,67,36.036301,129.36505
207(기본),육거리,68,36.039702,129.366432
207(기본),북구청,69,36.043574,129.368115
207(기본),,69,36.043796,129.368203
207(기본),,69,36.044063,129.368465
207(기본),북부시장/채움병원,70,36.045839,129.369553
207(기본),,70,36.048406,129.371073
207(기본),롯데백화점,71,36.049595,129.37143
207(기본),,71,36.051116,129.371929
207(기본),,71,36.05146,129.372198
207(기본),포항세관,72,36.052196,129.373372
207(기본),,72,36.052532,129.373897
207(기본),,72,36.053265,129.375593
207(기본),영일대 해수욕장,73,36.053985,129.376316
207(기본),,73,36.054217,129.376419
207(기본),롯데아파트,74,36.057092,129.377508
207(기본),,74,36.057749,129.377752
207(기본),,74,36.06065,129.379461
207(기본),두호동행정복지센터,75,36.06123,129.380113
207(기본),설머리물회지구,76,36.065624,129.385045
207(기본),,76,36.066471,129.386047
207(기본),,76,36.066783,129.386823
207(기본),노인복지회관,77,36.066822,129.387533
207(기본),,77,36.066881,129.388507
207(기본),,77,36.067158,129.389092
207(기본),,77,36.067907,129.390034
207(기본),,77,36.068211,129.390678
207(기본),환호해맞이그린빌,78,36.068297,129.391057
207(기본),환호공원,79,36.069004,129.394441
207(기본),,79,36.069528,129.397046
207(기본),라메르웨딩컨벤션,80,36.069553,129.397632
207(기본),,80,36.069625,129.398858
207(기본),,80,36.069823,129.399239
207(기본),,80,36.070077,129.399434
207(기본),,80,3.070697,129.399646
207(기본),환호여중,81,36.071316,129.39935
207(기본),,81,36.072608,129.398494
207(기본),,81,36.073046,129.398299
207(기본),청소년수련관,82,36.073611,129.398143
207(기본),,82,36.076265,129.3973
207(기본),,82,36.076543,129.397078
207(기본),농협 양덕지점,83,36.080099,129.397067
207(기본),,83,36.081633,129.397077
207(기본),농협하나로클럽,84,36.081696,129.398603
207(기본),,84,36.081806,129.402
207(기본),풍림아이원,85,36.085295,129.402012
207(기본),,85,36.086261,129.401946
207(기본),삼성쉐르빌,86,36.086204,129.405669
207(기본),,86,36.086275,129.407337
207(기본),포항대학교,87,36.083862,129.408761
207(기본),장량하수처리장,88,36.082183,129.409836
207(기본),,88,36.079943,129.41141
207(기본),,88,36.079655,129.410174
207(기본),북부장애인복지회관,89,36.079316,129.409049
207(기본),양덕한마음체육관,90,36.078453,129.40626
207(기본),,90,36.077082,129.401837
207(기본),양덕차고지,91,36.077248,129.401686
